msgYear,msgNumber,navArea,subregion,text,status,issueDate,authority,cancelDate,cancelNavArea,cancelMsgYear,cancelMsgNumber,
2023,534,4,28,"GULF OF MEXICO.
MEXICO.
1. HAZARDOUS OPERATIONS 21 THRU 26 MAY
   IN AREA BOUND BY
   23-39.00N 097-23.00W, 23-39.00N 097-34.00W,
   23-26.00N 097-34.00W, 23-26.00N 097-23.00W.
2. CANCEL THIS MSG 270001Z MAY 23.
",A,170442Z MAY 2023,MEXICO IV 2/23 161334Z MAY 23.,,,,,
2023,527,4,24,"CARIBBEAN SEA.
VENEZUELA.
CHART 24450.
DANGEROUS WRECK IN 10-30.35N 067-58.78W.
",A,151738Z MAY 2023,VENEZUELA 7/23 151513Z MAY 23.,,,,,
2023,521,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 05 JUL
   BY M/V DELTA COMMANDER IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 520/23.
3. CANCEL THIS MSG 060001Z JUL 23.
",A,130719Z MAY 2023,OFFSHORE GUYANA 78/23 130716Z MAY 23.,,,,,
2023,517,4,14,"NORTH ATLANTIC.
1. CABLE OPERATIONS 151800Z MAY TO 062359Z JUL
   BY M/V REBECCA ALONG TRACKLINE JOINING
   40-52.41N 056-44.04W, 40-52.40N 056-44.10W,
   40-59.50N 055-02.80W, 41-05.80N 053-41.70W,
   41-14.70N 052-03.30W, 41-28.00N 050-31.00W,
   41-43.70N 049-02.80W, 42-20.70N 047-31.70W,
   43-01.60N 045-58.90W, 43-05.50N 044-41.80W,
   43-52.70N 043-01.20W, 44-47.40N 041-45.30W,
   45-22.70N 040-00.60W, 45-40.80N 038-30.80W,
   46-44.30N 036-35.80W, 46-44.26N 036-55.86W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 070059Z JUL 23.
",A,112104Z MAY 2023,M/V REBECCA 0/23 111901Z MAY 23.,,,,,
2023,512,4,11,"GULF OF MEXICO.
LOUISIANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 10 SEP
   BY M/V OLYMPIC ARTEMIS WITH TWO SUBMERSIBLES,
   M/V HARVEY DEEPSEA WITH TWO SUBMERSIBLES,
   M/V SANCO SWORD TOWING 250 METER LONG CABLE,
   M/V FULMAR EXPLORER TOWING 100 METER LONG CABLE
   AND M/V VICTORY G IN VICINITY OF AREA BOUND BY
   28-03.74N 093-23.81W, 28-03.74N 091-45.52W,
   26-49.22N 091-45.52W, 26-49.22N 093-23.81W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 1269/22.
3. CANCEL THIS MSG 110001Z SEP 23.
",A,092217Z MAY 2023,OLYMPIC ARTEMIS 0/23 091901Z MAY 23.,,,,,
2023,510,4,24,"WESTERN NORTH ATLANTIC.
TRINIDAD AND TOBAGO.
1. SURVEY OPERATIONS 11 MAY THRU 24 JUN
   BY M/V FUGRO BRASILIS IN:
   A. 10-00.29N 060-32.04W.
   B. 10-07.23N 060-17.21W.
   C. 10-04.70N 060-16.04W.
   D. 10-02.54N 060-23.31W.
   E. 09-54.75N 060-31.92W.
   500 METER BERTH REQUESTED.
2. CANCEL THIS MSG 250001Z JUN 23.
",A,091209Z MAY 2023,TRINIDAD AND TOBAGO 57/23 091148Z MAY 23.,,,,,
2023,496,4,24,"CARIBBEAN SEA.
COLOMBIA.
PUERTO BOLIVAR RANGE FRONT LIGHT
12-15.16N 071-57.30W UNLIT.
",A,030818Z MAY 2023,COLOMBIA 120/23 030751Z MAY 23.,,,,,
2023,486,4,"14,36,38","NORTH ATLANTIC.
1. CABLE OPERATIONS 06 MAY THRU 03 JUN
   BY CABLESHIP RENE DESCARTES
   ALONG TRACKLINE JOINING
   45-38.60N 014-54.60W, 45-13.00N 018-33.30W,
   44-46.80N 022-15.60W, 44-30.00N 025-54.50W,
   44-33.00N 028-14.00W, 44-19.50N 030-57.00W,
43-21.00N 035-16.00W, 41-56.60N 040-15.50W,
   41-00.00N 042-55.00W, 39-22.00N 048-42.10W,
   39-10.80N 051-29.90W.
   ONE MILE BERTH REQUESTED.
2. CANCEL THIS MSG 040001Z JUN 23.
",A,010909Z MAY 2023,C/S RENE DESCARTES 0/23 240900Z APR 23.,,,,,
2023,483,4,11,"GULF OF MEXICO.
LOUISIANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 03 NOV
   BY M/V SHELIA BORDELON, M/V SW GALLIEN,
   M/V SW MIKKELSEN AND M/V SARAH BORDELON
   IN AREA BOUND BY
   26-50.26N 092-18.75W, 26-49.46N 090-51.51W,
   28-14.33N 090-49.94W, 28-15.19N 092-18.30W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 481/23.
3. CANCEL THIS MSG 040001Z NOV 23.
",A,301513Z APR 2023,SW GALLIEN 0/23 301505Z APR 23.,,,,,
2023,439,4,26,"WESTERN CARIBBEAN SEA.
COLOMBIA.
CHART 28006.
CAYO BOLIVAR LIGHT 12-24.00N 081-28.50W UNLIT.
",A,211953Z APR 2023,COLOMBIA 103/23 211618Z APR 23.,,,,,
2023,434,4,24,"WESTERN NORTH ATLANTIC.
GUYANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 31 DEC
   BY M/V SANCO SPIRIT IN AREA BOUND BY
   08-45.24N 057-04.91W, 08-30.56N 056-49.90W,
   08-19.85N 056-39.79W, 08-02.43N 056-19.43W,
   07-46.19N 056-24.54W, 07-45.55N 056-37.06W,
   07-40.87N 056-53.11W, 07-41.43N 057-09.73W,
   08-07.04N 057-09.72W, 08-22.79N 057-33.57W,
   08-38.77N 057-22.79W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 426/23.
3. CANCEL THIS MSG 010001Z JAN 24.
",A,210714Z APR 2023,GUYANA 66/23 210101Z APR 23.,,,,,
2023,431,4,51,"NORTH ATLANTIC.
1. UNDERWATER OPERATIONS BY M/V JOIDES RESOLUTION:
   A. IN PROGRESS UNTIL 27 APR IN 30-07.95N 042-07.23W.
   B. 27 APR THRU 04 JUN IN 30-10.11N 042-07.11W.
   TWO MILE BERTH REQUESTED.
2. CANCEL THIS MSG 050001Z JUN 23.
",A,200820Z APR 2023,M/V JOIDES RESOLUTION 0/23 200721Z APR 23.,,,,,
2023,391,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 31 DEC
   BY M/V BOURBON CALM IN AREA BOUND BY
   08-12.59N 057-01.36W, 08-12.59N 056-58.64W,
   08-10.37N 056-58.64W, 08-10.37N 057-01.36W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z JAN 24.
",A,072316Z APR 2023,OFFSHORE GUYANA 60/23 072142Z APR 23.,,,,,
2023,385,4,11,"WESTERN NORTH ATLANTIC.
FLORIDA.
NAVTEX STATION MIAMI (A) 25-37.40N 080-23.37W
INOPERABLE.
",A,062103Z APR 2023,COGARD COMMUNICATIONS COMMAND 0/23 061702Z APR 23.,,,,,
2023,370,4,24,"CARIBBEAN SEA.
VENEZUELA.
5.5 METER SHOAL IN 10-38.04N 071-36.00W.
",A,010012Z APR 2023,VENEZUELA 3/23 312356Z MAR 23.,,,,,
2023,366,4,26,"WESTERN CARIBBEAN SEA.
PANAMA.
UNCHARTED REEF REPORTED IN 09-34.61N 078-42.54W.
",A,301641Z MAR 2023,M/V M.Y. TALITHA 0/23 301552Z MAR 23.,,,,,
2023,356,4,28,"WESTERN CARIBBEAN SEA.
MEXICO.
CHART 28190.
TULUM LIGHT 20-12.68N 087-25.80W UNLIT.
",A,271913Z MAR 2023,MEXICO IV 13/23 271728Z MAR 23.,,,,,
2023,334,4,24,"WESTERN NORTH ATLANTIC.
SURINAME.
1. SURVEY OPERATIONS 28 MAR THRU 31 JUL
   BY M/V GYRE IN AREA BOUND BY
   08-45.48N 052-24.97W, 07-42.93N 052-56.10W,
   07-42.49N 053-54.72W, 07-47.53N 054-24.95W,
   07-46.32N 054-40.47W, 07-27.17N 054-51.97W,
   07-27.28N 055-17.38W, 08-02.72N 055-17.24W,
   08-02.63N 054-57.59W, 08-27.24N 054-57.47W,
   08-27.08N 055-02.71W, 08-52.81N 055-02.58W,
   09-02.47N 054-56.34W, 09-02.46N 054-24.83W,
   09-22.19N 054-02.75W, 09-12.03N 053-26.45W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z AUG 23.
",A,240845Z MAR 2023,SURINAME 5/23 240039Z MAR 23.,,,,,
2023,330,4,24,"WESTERN NORTH ATLANTIC.
SURINAME.
1. SURVEY OPERATIONS 28 MAR THRU 31 AUG
   BY M/V RALEIGH B IN:
   A. 07-15.35N 055-54.57W.
   B. 07-22.83N 055-55.61W.
   C. 07-22.50N 055-54.24W.
   D. 07-22.08N 055-52.86W
   FIVE MILE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z SEP 23.
",A,232157Z MAR 2023,SURINAME 4/23 231901Z MAR 23.,,,,,
2023,329,4,26,"WESTERN NORTH ATLANTIC.
1. NAVIGATION PROHIBITED UNTIL FURTHER
   NOTICE IN AREAS BOUND BY:
   A. 28-22.00N 074-43.00W, 28-22.00N 074-32.00W,
      28-14.00N 074-32.00W, 28-14.00N 074-43.00W.
   B. 28-01.00N 074-36.00W, 28-29.00N 074-36.00W,
      28-43.00N 074-00.00W, 28-43.00N 073-20.00W,
      28-24.00N 072-52.00W, 28-04.00N 072-52.00W,
      27-46.00N 073-20.00W, 27-44.00N 074-05.00W.
2. CANCEL NAVAREA IV 326/23.
",A,232055Z MAR 2023,SPACE LAUNCH DELTA 0/23 231902Z MAR 23.,,,,,
2023,296,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 21 NOV
   BY M/V NORMAND SAMSON IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 210001Z NOV 23.
",A,160000Z MAR 2023,OFFSHORE GUYANA 45/23 152001Z MAR 23.,,,,,
2023,295,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 01 JUL
   BY M/V AHT MADAM KALINA IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z JUL 23.
",A,152336Z MAR 2023,OFFSHORE GUYANA 44/23 152001Z MAR 23.,,,,,
2023,274,4,25,"ANGUILLA.
CHART 25600
VESSEL AGROUND. NAVIGATION PROHIBITED
IN AREA BOUND BY
18-10.07N 063-09.81W, 18-10.07N 063-09.98W,
18-10.23N 063-09.98W, 18-10.23N 063-09.79W.
WIDE BERTH REQUESTED.
",A,120543Z MAR 2023,ANGUILLA 0/23 120401Z MAR 23.,,,,,
2023,265,4,25,"EASTERN CARIBBEAN SEA.
GUADELOUPE.
CHART 25563.
1. ILET A GOZIER LIGHT 16-11.90N 061-29.45W
   UNLIT.
2. CANCEL NAVAREA IV 1218/22.
",A,101504Z MAR 2023,WEST INDIES - COASTAL 6/23 101403Z MAR 23.,,,,,
2023,259,4,24,"EASTERN CARIBBEAN SEA.
TRINIDAD AND TOBAGO.
GALERA POINT LIGHT 10-50.05N 060-54.58W UNLIT.
",A,090206Z MAR 2023,TRINIDAD AND TOBAGO 28/23 082300Z MAR 23.,,,,,
2023,250,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 31 AUG
   BY TUG BOKA EXPEDITION AND BARGE CBC 1267
   IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z SEP 23.
",A,070217Z MAR 2023,OFFSHORE GUYANA 41/23 070101Z MAR 23.,,,,,
2023,248,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 30 NOV
   BY M/V SAIPEM CONSTELLATION IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z DEC 23.
",A,070204Z MAR 2023,OFFSHORE GUYANA 39/23 070101Z MAR 23.,,,,,
2023,247,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 31 JUL
   BY M/V GERARD TIDE IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z AUG 23.
",A,070155Z MAR 2023,OFFSHORE GUYANA 37/23 070102Z MAR 23.,,,,,
2023,222,4,25,"EASTERN CARIBBEAN SEA.
ANGUILLA.
ANCHORING PROHIBITED UNTIL FURTHER NOTICE
IN AREA BOUND BY
18-13.60N 063-04.15W, 18-13.60N 063-04.70W,
18-13.20N 063-04.70W, 18-13.20N 063-04.50W.
WIDE BERTH REQUESTED.
",A,011529Z MAR 2023,ANGUILLA 2/23 011507Z MAR 23.,,,,,
2023,214,4,24,"WESTERN NORTH ATLANTIC.
GUYANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 31 JUL
   BY M/V LEEWAY ODYSSEY IN AREA BOUND BY
   07-06.98N 058-07.94W, 07-29.57N 057-52.03W,
   07-14.15N 057-30.02W, 06-47.72N 057-47.10W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 206/23.
3. CANCEL THIS MSG 010001Z AUG 23.
",A,271657Z FEB 2023,OFFSHORE GUYANA 31/23 271631Z FEB 23.,,,,,
2023,196,4,11,"WESTERN NORTH ATLANTIC.
FLORIDA.
1. USCG REMOTE COMMUNICATION FACILITY
   MIAMI (A) 25-37.40N 080-23.37W UNABLE
   TO RECEIVE HF DSC VOICE AND DATA CALLS.
2. CANCEL NAVAREA IV 195/23.
",A,221313Z FEB 2023,COGARD COMMUNICATIONS COMMAND 0/23 221301Z FEB 23.,,,,,
