msgYear,msgNumber,navArea,subregion,text,status,issueDate,authority,cancelDate,cancelNavArea,cancelMsgYear,cancelMsgNumber,
2023,599,4,GEN,"1. NAVAREA IV MOBILE OFFSHORE DRILLING UNITS
   POSITIONS AT 311530Z MAY:
   A. ARGOS 27-10.4N 090-21.9W.
   B. BLAKE 1007 27-22.0N 094-28.1W.
   C. COATZACOALCOS 19-28.9N 091-57.0W.
   D. DEEPWATER ASGARD 27-48.5N 089-38.8W.
   E. DEEPWATER ATLAS 26-54.2N 091-35.4W.
   F. DEEPWATER CONQUEROR 28-23.3N 088-11.0W.
   G. DEEPWATER INVICTUS 27-44.1N 092-44.4W.
   H. DEEPWATER PONTUS 28-01.6N 089-09.8W.
   I. DEEPWATER POSEIDON 28-36.3N 087-56.4W.
   J. DEEPWATER PROTEUS 28-01.8N 089-03.6W.
   K. (NEW POSITION) DEEPWATER THALASSA
      26-09.5N 094-47.3W.
   L. DEVELOPMENT DRILLER III 07-13.5N 055-51.3W.
   M. DISCOVERER INSPIRATION 27-45.7N 092-00.4W.
   N. ENTERPRISE 264 29-11.5N 088-57.0W.
   O. ENTERPRISE 351 29-27.7N 088-39.0W.
   P. FRIDA I 23-36.3N 091-26.4W.
   Q. GALAR 18-30.5N 093-26.5W.
   R. GERSEMI 18-29.1N 093-21.6W.
   S. GRID 18-26.7N 094-08.2W.
   T. GSP ORIZONT 19-36.0N 090-58.0W.
   U. H&P RIG 100 28-56.8N 088-35.3W.
   V. H&P RIG 201 28-09.5N 089-12.7W.
   W. H&P RIG 205 26-06.6N 094-53.1W.
   X. H&P RIG 406 27-33.8N 092-25.0W.
   Y. HELIX Q5000 28-04.3N 089-00.9W.
   Z. HOLSTEIN SPAR 27-19.6N 090-31.0W.
   AA. ISLAND INTERVENTION 27-13.7N 090-01.7W.
   AB. ISLAND PERFORMER 28-11.9N 089-15.9W.
   AC. (NEW POSITION) ISLAND VENTURE
       27-13.7N 090-01.7W.
   AD. JOE DOUGLAS 10-02.4N 060-15.0W.
   AE. LIZA DESTINY 08-00.0N 057-00.0W.
   AF. LIZA UNITY 08-00.5N 056-54.8W.
   AG. MAD DOG 27-11.3N 090-16.4W.
   AH. MAERSK DISCOVERER 10-38.9N 060-14.1W.
   AI. MAERSK VALIANT 07-19.4N 055-52.6W.
   AJ. MSV OCEAN EVOLUTION 28-00.7N 089-10.3W.
   AK. NABORS MODS 140 28-12.4N 088-46.4W.
   AL. NABORS MODS 200 28-06.2N 090-12.1W.
   AM. NABORS MODS 400 26-55.8N 090-31.2W.
   AN. NJORD 18-28.8N 093-27.6W.
   AO. NOBLE BOB DOUGLAS 08-04.1N 056-58.9W.
   AP. NOBLE DON TAYLOR 07-55.5N 056-43.0W.
   AQ. NOBLE FAYE KOZACK 27-56.2N 090-00.6W.
   AR. NOBLE GERRY DE SOUZA 10-39.0N 061-39.0W.
   AS. NOBLE GLOBETROTTER II 26-17.5N 094-24.2W.
   AT. NOBLE REGINA ALLEN 10-39.1N 061-37.4W.
   AU. NOBLE SAM CROFT 08-14.7N 057-01.2W.
   AV. NOBLE STANLEY LAFOSSE 26-32.4N 090-31.7W.
   AW. (NEW POSITION) NOBLE TOM MADDEN
       08-15.1N 056-56.8W.
   AX. OCEAN BLACKHORNET 28-28.5N 088-11.0W.
   AY. OCEAN BLACKLION 27-06.4N 090-22.1W.
   AZ. ODIN 18-18.3N 094-05.3W.
   AAA. OLYMPUS N88 28-09.6N 089-12.8W.
   AAB. PAPALOAPAN 19-29.0N 092-01.6W.
   AAC. PROSPERITY 08-11.5N 057-00.0W.
   AAD. RALPH COFFMAN 18-20.4N 093-53.6W.
   AAE. ROWAN EXL II 28-22.0N 091-27.7W.
   AAF. ROWAN RELENTLESS 26-56.2N 090-46.0W.
   AAG. SAIPEM SANTORINI 28-27.8N 089-04.3W.
   AAH. SEADRILL WEST VELA 27-08.9N 090-19.3W.
   AAI. SEVAN LOUISIANA 27-53.4N 090-16.8W.
   AAJ. STENA CARRON 08-11.3N 057-04.4W.
   AAK. (NEW POSITION) STENA DRILLMAX
      07-10.4N 057-55.4W.
   AAL. STENA ICEMAX 47-57.4N 052-06.6W.
   AAM. THUNDERHORSE PDQ 28-12.7N 088-28.9W.
   AAN. VALARIS DPS-5 20-15.8N 094-31.0W.
   AAO. VALARIS DS-16 28-54.5N 088-11.6W.
   AAP. WELL SERVICES RIG 110 10-10.5N 061-45.4W.
   AAQ. WELL SERVICES RIG 50 10-13.7N 061-45.5W.
   AAR. WEST AURIGA 27-13.5N 090-00.8W.
   AAS. WEST COURAGEOUS 19-35.1N 092-13.7W.
   AAT. WEST DEFENDER 18-25.5N 094-15.4W.
   AAU. WEST INTREPID 19-36.5N 092-15.5W.
   AAV. (NEW POSITION) WEST NEPTUNE
	28-26.7N 089-02.6W.
   AAW. WFD 250 28-37.6N 090-14.0W.
   AAX. (NEW POSITION) WFD 400
	28-16.4N 092-06.2W.
2. TO REPORT A MOBILE OFFSHORE DRILLING UNIT AS
   PER IMO RESOLUTION A.1023(26), PARAGRAPH 11.5.1,
   CONTACT NAVSAFETY@NGA.MIL SUBJ: MODU REPORT.
3. CANCEL NAVAREA IV 568/23.
",A,311643Z MAY 2023,SFH 0/23 311601Z MAY 23.,,,,,
2023,598,4,11,"GULF OF MEXICO.
DISTRESS SIGNAL RECEIVED ON 406 MHZ IN VICINITY
27-18.60N 085-32.60W AT 310922Z MAY.
VESSELS IN VICINITY REQUESTED TO KEEP A SHARP
LOOKOUT, ASSIST IF POSSIBLE.
REPORTS TO RCC NEW ORLEANS,
PHONE: 855 485 3727,
FAX: 504 589 2148,
EMAIL: D8COMMANDCENTER@USCG.MIL.
",A,311324Z MAY 2023,RCC NEW ORLEANS 0/23 311316Z MAY 23.,,,,,
2023,597,4,24,"WESTERN NORTH ATLANTIC.
FRENCH GUIANA.
1. HAZARDOUS OPERATIONS 051200Z TO 091600Z JUN
   IN AREA WITHIN THREE MILES OF
   05-04.99N 052-00.10W.
2. CANCEL THIS MSG 091700Z JUN 23.
",A,310905Z MAY 2023,AVURNAV CAYENNE 17/23 031102Z MAY 23.,,,,,
2023,594,4,25,"EASTERN CARIBBEAN SEA.
MARTINIQUE.
ILET CABRITS LIGHT 14-23.52N 060-52.07W
OFF STATION.
",A,310355Z MAY 2023,AVURNAV LOCAL FORT DE FRANCE 1054/23 310200Z MAY 23.,,,,,
2023,527,4,24,"CARIBBEAN SEA.
VENEZUELA.
CHART 24450.
DANGEROUS WRECK IN 10-30.35N 067-58.78W.
",A,151738Z MAY 2023,VENEZUELA 7/23 151513Z MAY 23.,,,,,
2023,521,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 05 JUL
   BY M/V DELTA COMMANDER IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 520/23.
3. CANCEL THIS MSG 060001Z JUL 23.
",A,130719Z MAY 2023,OFFSHORE GUYANA 78/23 130716Z MAY 23.,,,,,
2023,517,4,14,"NORTH ATLANTIC.
1. CABLE OPERATIONS 151800Z MAY TO 062359Z JUL
   BY M/V REBECCA ALONG TRACKLINE JOINING
   40-52.41N 056-44.04W, 40-52.40N 056-44.10W,
   40-59.50N 055-02.80W, 41-05.80N 053-41.70W,
   41-14.70N 052-03.30W, 41-28.00N 050-31.00W,
   41-43.70N 049-02.80W, 42-20.70N 047-31.70W,
   43-01.60N 045-58.90W, 43-05.50N 044-41.80W,
   43-52.70N 043-01.20W, 44-47.40N 041-45.30W,
   45-22.70N 040-00.60W, 45-40.80N 038-30.80W,
   46-44.30N 036-35.80W, 46-44.26N 036-55.86W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 070059Z JUL 23.
",A,112104Z MAY 2023,M/V REBECCA 0/23 111901Z MAY 23.,,,,,
2023,512,4,11,"GULF OF MEXICO.
LOUISIANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 10 SEP
   BY M/V OLYMPIC ARTEMIS WITH TWO SUBMERSIBLES,
   M/V HARVEY DEEPSEA WITH TWO SUBMERSIBLES,
   M/V SANCO SWORD TOWING 250 METER LONG CABLE,
   M/V FULMAR EXPLORER TOWING 100 METER LONG CABLE
   AND M/V VICTORY G IN VICINITY OF AREA BOUND BY
   28-03.74N 093-23.81W, 28-03.74N 091-45.52W,
   26-49.22N 091-45.52W, 26-49.22N 093-23.81W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 1269/22.
3. CANCEL THIS MSG 110001Z SEP 23.
",A,092217Z MAY 2023,OLYMPIC ARTEMIS 0/23 091901Z MAY 23.,,,,,
2023,510,4,24,"WESTERN NORTH ATLANTIC.
TRINIDAD AND TOBAGO.
1. SURVEY OPERATIONS 11 MAY THRU 24 JUN
   BY M/V FUGRO BRASILIS IN:
   A. 10-00.29N 060-32.04W.
   B. 10-07.23N 060-17.21W.
   C. 10-04.70N 060-16.04W.
   D. 10-02.54N 060-23.31W.
   E. 09-54.75N 060-31.92W.
   500 METER BERTH REQUESTED.
2. CANCEL THIS MSG 250001Z JUN 23.
",A,091209Z MAY 2023,TRINIDAD AND TOBAGO 57/23 091148Z MAY 23.,,,,,
2023,496,4,24,"CARIBBEAN SEA.
COLOMBIA.
PUERTO BOLIVAR RANGE FRONT LIGHT
12-15.16N 071-57.30W UNLIT.
",A,030818Z MAY 2023,COLOMBIA 120/23 030751Z MAY 23.,,,,,
2023,483,4,11,"GULF OF MEXICO.
LOUISIANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 03 NOV
   BY M/V SHELIA BORDELON, M/V SW GALLIEN,
   M/V SW MIKKELSEN AND M/V SARAH BORDELON
   IN AREA BOUND BY
   26-50.26N 092-18.75W, 26-49.46N 090-51.51W,
   28-14.33N 090-49.94W, 28-15.19N 092-18.30W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 481/23.
3. CANCEL THIS MSG 040001Z NOV 23.
",A,301513Z APR 2023,SW GALLIEN 0/23 301505Z APR 23.,,,,,
2023,439,4,26,"WESTERN CARIBBEAN SEA.
COLOMBIA.
CHART 28006.
CAYO BOLIVAR LIGHT 12-24.00N 081-28.50W UNLIT.
",A,211953Z APR 2023,COLOMBIA 103/23 211618Z APR 23.,,,,,
2023,434,4,24,"WESTERN NORTH ATLANTIC.
GUYANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 31 DEC
   BY M/V SANCO SPIRIT IN AREA BOUND BY
   08-45.24N 057-04.91W, 08-30.56N 056-49.90W,
   08-19.85N 056-39.79W, 08-02.43N 056-19.43W,
   07-46.19N 056-24.54W, 07-45.55N 056-37.06W,
   07-40.87N 056-53.11W, 07-41.43N 057-09.73W,
   08-07.04N 057-09.72W, 08-22.79N 057-33.57W,
   08-38.77N 057-22.79W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 426/23.
3. CANCEL THIS MSG 010001Z JAN 24.
",A,210714Z APR 2023,GUYANA 66/23 210101Z APR 23.,,,,,
2023,391,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 31 DEC
   BY M/V BOURBON CALM IN AREA BOUND BY
   08-12.59N 057-01.36W, 08-12.59N 056-58.64W,
   08-10.37N 056-58.64W, 08-10.37N 057-01.36W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z JAN 24.
",A,072316Z APR 2023,OFFSHORE GUYANA 60/23 072142Z APR 23.,,,,,
2023,385,4,11,"WESTERN NORTH ATLANTIC.
FLORIDA.
NAVTEX STATION MIAMI (A) 25-37.40N 080-23.37W
INOPERABLE.
",A,062103Z APR 2023,COGARD COMMUNICATIONS COMMAND 0/23 061702Z APR 23.,,,,,
2023,370,4,24,"CARIBBEAN SEA.
VENEZUELA.
5.5 METER SHOAL IN 10-38.04N 071-36.00W.
",A,010012Z APR 2023,VENEZUELA 3/23 312356Z MAR 23.,,,,,
2023,366,4,26,"WESTERN CARIBBEAN SEA.
PANAMA.
UNCHARTED REEF REPORTED IN 09-34.61N 078-42.54W.
",A,301641Z MAR 2023,M/V M.Y. TALITHA 0/23 301552Z MAR 23.,,,,,
2023,356,4,28,"WESTERN CARIBBEAN SEA.
MEXICO.
CHART 28190.
TULUM LIGHT 20-12.68N 087-25.80W UNLIT.
",A,271913Z MAR 2023,MEXICO IV 13/23 271728Z MAR 23.,,,,,
2023,334,4,24,"WESTERN NORTH ATLANTIC.
SURINAME.
1. SURVEY OPERATIONS 28 MAR THRU 31 JUL
   BY M/V GYRE IN AREA BOUND BY
   08-45.48N 052-24.97W, 07-42.93N 052-56.10W,
   07-42.49N 053-54.72W, 07-47.53N 054-24.95W,
   07-46.32N 054-40.47W, 07-27.17N 054-51.97W,
   07-27.28N 055-17.38W, 08-02.72N 055-17.24W,
   08-02.63N 054-57.59W, 08-27.24N 054-57.47W,
   08-27.08N 055-02.71W, 08-52.81N 055-02.58W,
   09-02.47N 054-56.34W, 09-02.46N 054-24.83W,
   09-22.19N 054-02.75W, 09-12.03N 053-26.45W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z AUG 23.
",A,240845Z MAR 2023,SURINAME 5/23 240039Z MAR 23.,,,,,
2023,330,4,24,"WESTERN NORTH ATLANTIC.
SURINAME.
1. SURVEY OPERATIONS 28 MAR THRU 31 AUG
   BY M/V RALEIGH B IN:
   A. 07-15.35N 055-54.57W.
   B. 07-22.83N 055-55.61W.
   C. 07-22.50N 055-54.24W.
   D. 07-22.08N 055-52.86W
   FIVE MILE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z SEP 23.
",A,232157Z MAR 2023,SURINAME 4/23 231901Z MAR 23.,,,,,
2023,329,4,26,"WESTERN NORTH ATLANTIC.
1. NAVIGATION PROHIBITED UNTIL FURTHER
   NOTICE IN AREAS BOUND BY:
   A. 28-22.00N 074-43.00W, 28-22.00N 074-32.00W,
      28-14.00N 074-32.00W, 28-14.00N 074-43.00W.
   B. 28-01.00N 074-36.00W, 28-29.00N 074-36.00W,
      28-43.00N 074-00.00W, 28-43.00N 073-20.00W,
      28-24.00N 072-52.00W, 28-04.00N 072-52.00W,
      27-46.00N 073-20.00W, 27-44.00N 074-05.00W.
2. CANCEL NAVAREA IV 326/23.
",A,232055Z MAR 2023,SPACE LAUNCH DELTA 0/23 231902Z MAR 23.,,,,,
2023,296,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 21 NOV
   BY M/V NORMAND SAMSON IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 210001Z NOV 23.
",A,160000Z MAR 2023,OFFSHORE GUYANA 45/23 152001Z MAR 23.,,,,,
2023,295,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 01 JUL
   BY M/V AHT MADAM KALINA IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z JUL 23.
",A,152336Z MAR 2023,OFFSHORE GUYANA 44/23 152001Z MAR 23.,,,,,
2023,274,4,25,"ANGUILLA.
CHART 25600
VESSEL AGROUND. NAVIGATION PROHIBITED
IN AREA BOUND BY
18-10.07N 063-09.81W, 18-10.07N 063-09.98W,
18-10.23N 063-09.98W, 18-10.23N 063-09.79W.
WIDE BERTH REQUESTED.
",A,120543Z MAR 2023,ANGUILLA 0/23 120401Z MAR 23.,,,,,
2023,265,4,25,"EASTERN CARIBBEAN SEA.
GUADELOUPE.
CHART 25563.
1. ILET A GOZIER LIGHT 16-11.90N 061-29.45W
   UNLIT.
2. CANCEL NAVAREA IV 1218/22.
",A,101504Z MAR 2023,WEST INDIES - COASTAL 6/23 101403Z MAR 23.,,,,,
2023,250,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 31 AUG
   BY TUG BOKA EXPEDITION AND BARGE CBC 1267
   IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z SEP 23.
",A,070217Z MAR 2023,OFFSHORE GUYANA 41/23 070101Z MAR 23.,,,,,
2023,248,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 30 NOV
   BY M/V SAIPEM CONSTELLATION IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z DEC 23.
",A,070204Z MAR 2023,OFFSHORE GUYANA 39/23 070101Z MAR 23.,,,,,
2023,247,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 31 JUL
   BY M/V GERARD TIDE IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z AUG 23.
",A,070155Z MAR 2023,OFFSHORE GUYANA 37/23 070102Z MAR 23.,,,,,
2023,222,4,25,"EASTERN CARIBBEAN SEA.
ANGUILLA.
ANCHORING PROHIBITED UNTIL FURTHER NOTICE
IN AREA BOUND BY
18-13.60N 063-04.15W, 18-13.60N 063-04.70W,
18-13.20N 063-04.70W, 18-13.20N 063-04.50W.
WIDE BERTH REQUESTED.
",A,011529Z MAR 2023,ANGUILLA 2/23 011507Z MAR 23.,,,,,
2023,214,4,24,"WESTERN NORTH ATLANTIC.
GUYANA.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 31 JUL
   BY M/V LEEWAY ODYSSEY IN AREA BOUND BY
   07-06.98N 058-07.94W, 07-29.57N 057-52.03W,
   07-14.15N 057-30.02W, 06-47.72N 057-47.10W.
   WIDE BERTH REQUESTED.
2. CANCEL NAVAREA IV 206/23.
3. CANCEL THIS MSG 010001Z AUG 23.
",A,271657Z FEB 2023,OFFSHORE GUYANA 31/23 271631Z FEB 23.,,,,,
2023,196,4,11,"WESTERN NORTH ATLANTIC.
FLORIDA.
1. USCG REMOTE COMMUNICATION FACILITY
   MIAMI (A) 25-37.40N 080-23.37W UNABLE
   TO RECEIVE HF DSC VOICE AND DATA CALLS.
2. CANCEL NAVAREA IV 195/23.
",A,221313Z FEB 2023,COGARD COMMUNICATIONS COMMAND 0/23 221301Z FEB 23.,,,,,
2023,132,4,27,"GULF OF MEXICO.
CUBA.
CHART 27100
1. LA TABLA LIGHT 22-18.20N 084-39.90W
   CHANGED TO FL W 5 SEC 11 METERS 12 MILES.
2. ZORRITA LIGHT 22-22.30N 084-34.90W
   CHANGED TO FL W 7 SEC 11 METERS 12 MILES.
3. CANCEL NAVAREA IV 54/23.
",A,022036Z FEB 2023,CUBA 0/23 021842Z FEB 23.,,,,,
2023,103,4,24,"WESTERN NORTH ATLANTIC.
1. UNDERWATER OPERATIONS IN PROGRESS UNTIL 30 JUN
   BY M/V A'RINRA, M/V C-LEGEND AND M/V WINE ISLAND
   IN AREA BOUND BY
   08-15.96N 057-02.23W, 08-15.96N 056-54.25W,
   07-58.60N 056-54.25W, 07-58.60N 057-02.23W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z JUL 23.
",A,242258Z JAN 2023,OFFSHORE GUYANA 22/23 242201Z JAN 23.,,,,,
2023,66,4,24,"EASTERN CARIBBEAN SEA.
TRINIDAD AND TOBAGO.
CROWN POINT LIGHT 11-08.90N 060-50.70W UNLIT.
",A,161220Z JAN 2023,TRINIDAD AND TOBAGO 6/23 161207Z JAN 23.,,,,,
2023,57,4,24,"EASTERN CARIBBEAN SEA.
TRINIDAD AND TOBAGO.
CHART 24404.
PUNTA DEL ARENAL LIGHT 10-02.90N 061-55.60W UNLIT.
",A,132241Z JAN 2023,TRINIDAD AND TOBAGO 4/23 132139Z JAN 23.,,,,,
2023,56,4,24,"EASTERN CARIBBEAN SEA.
TRINIDAD AND TOBAGO.
CHART 24404.
CHUPARA POINT LIGHT 10-48.50N 061-21.70W UNLIT.
",A,132229Z JAN 2023,TRINIDAD AND TOBAGO 5/23 132139Z JAN 23.,,,,,
2023,27,4,24,"WESTERN NORTH ATLANTIC.
BRAZIL.
1. SURVEY OPERATIONS IN PROGRESS UNTIL 31 AUG BY
   M/V OCEANIC VEGA, M/V SANCO SCORPIO AND M/V DRS RETUMBANTE
   TOWING TEN 12964 METER LONG CABLES
   IN AREA BOUND BY
   05-28.84N 048-56.81W, 06-16.37N 050-01.61W,
   05-40.37N 050-31.29W, 05-26.79N 050-09.99W,
   05-13.60N 049-51.82W, 05-00.08N 049-49.08W,
   04-31.61N 049-49.29W, 04-20.45N 049-37.86W,
   04-20.80N 048-47.97W, 05-02.80N 048-46.45W.
   WIDE BERTH REQUESTED.
2. CANCEL THIS MSG 010001Z SEP 23.
",A,070330Z JAN 2023,NAVAREA V 6/23 062113Z JAN 23.,,,,,
